사진이름,설명,카테고리 id,썸네일 사진 url
White Desk,다리받침의 높이를 조절할 수 있어서 고르지 않은 바닥에도 안정적으로 세울 수 있습니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20Desk1.png?raw=true
Wood Long Desk,가로 길이가 길어 효율적인 작업 공간을 제공합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wood%20Long%20Desk1.png?raw=true
Ivory Brown Desk,몽글몽글해지는 색상의 책상에서 기분좋게 작업해보세요.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Ivory%20Brown%20Desk1.png?raw=true
Study Wood Desk,튼튼하고 무게가 무겁지 않아 학습용 책상으로 적합합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Study%20Wood%20Desk%201.png?raw=true
One Leg Table,카페에 온듯한 기분이 드는 테이블입니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/One%20Leg%20Table1.jpg?raw=true
Tiny White Desk,작은 사이즈지만 다양한 용도로 사용가능한 귀여운 책상입니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Tiny%20White%20Desk1.png?raw=true
We Work O Table,위워크에서도 쓰는 원형테이블이에요,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/We%20Work%20O%20Table1.jpeg?raw=true
Wooden Circle Table,30년 경력의 장인이 직접 만들었습니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/%EB%AA%A9%EC%9E%AC%EC%9B%90%ED%98%95%ED%85%8C%EC%9D%B4%EB%B8%941.jpg?raw=true
White Long Desk,좁고 긴 책상으로 선반 대용으로도 사용 가능합니다.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20Long%20Desk1.png?raw=true
white O Table,깔끔한 화이트 색상의 원형 테이블,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/White%20O%20Table1.jpg?raw=true
Wood Mood Desk,따뜻한 느낌의 원목 그대로의 감성을 느껴보세요.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wood%20Mood%20Desk1.png?raw=true
Wooden Table No Mental,철제 프레임이 없는 100%원목 테이블.,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/Wooden%20Table%20No%20Metal1.jpg?raw=true
We Work Table,위워크에서 쓰는 사각테이블,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%B1%85%EC%83%81/We%20Work%20Table1.jpeg?raw=true
wood shelf,나무로 만들어서 오히려 튼튼한 선반,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/wood%20shelf1.png?raw=true
zxc shelf,장식품을 올려두어서 위트있는 배경을 만들어보세요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/zxc%20shelf1.png?raw=true
vvv shelf,화분을 이쁘게 꾸며보아요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/vvv%20shelf1.png?raw=true
가죽 의자,가죽으로 만들어진 부드러운 착석감에 빠져보세요.,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/1%20%EA%B0%80%EC%A3%BD%EC%9D%98%EC%9E%90.png?raw=true
샹들리에 의자,화려한 디자인과 편안함을 동시에 잡아보세요.,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/2%20%EC%83%B9%EB%93%A4%EB%A6%AC%EC%97%90%EC%9D%98%EC%9E%90.jpg?raw=true
blackChair,기본적인 디자인의 검은 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/3%20%EA%B2%80%EC%9D%80%EC%9D%98%EC%9E%90.jpg?raw=true
designChair,흰 바탕의 아름다운 심플한 디자인의 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/%EB%94%94%EC%9E%90%EC%9D%B8%20%EC%9D%98%EC%9E%90.jpg?raw=true
whiteSwanChair,정원에서 쓰기 좋은 백조를 닮은 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/5%20%EB%B0%B1%EC%A1%B0%EC%9D%98%EC%9E%90.png?raw=true
해변 의자,시원한 바다를 즐기고 따뜻한 햇살을 맞는 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/6%20%ED%95%B4%EB%B3%80%EC%9D%98%EC%9E%90.jpg?raw=true
Red Chair,빨간색의 강렬함을 느끼고 싶은 당신을 위한 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/Red%20Chair.jpg?raw=true
야구 의자,가을 야구를 즐기는 당신에게 안락하는 주는 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/8%20%EC%95%BC%EA%B5%AC%EC%9D%98%EC%9E%90.jpg?raw=true
프로필 의자,프로필사진을 찍는듯한 기분을 느끼게 해주는 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/9%20%ED%94%84%EB%A1%9C%ED%95%84%EC%9D%98%EC%9E%90%20.jpg?raw=true
나무 의자,자연에 앉아 있는 듯한 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/10%20%EB%82%98%EB%AC%B4%EC%9D%98%EC%9E%90%20.png?raw=true
탁상 의자,탁상의자라고 읽고 침대라고 생각하자 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/11%20%EC%9D%98%EC%9E%90.jpg?raw=true
안락 의자,너무 안락해서 한번 앉으면 일어날 수 없는 의자,2,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/%EC%95%88%EB%9D%BD%ED%95%B4%EC%9A%94%20%EC%9D%98%EC%9E%90.png?raw=true
편안한 의자,이건 쇼파인지 의자인지 편안한 의자,1,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%9D%98%EC%9E%90/%ED%8E%B8%EC%95%88%ED%95%9C%20%EC%9D%98%EC%9E%901.jpg?raw=true
monsterDrawer,독특하고 개성있는 디자인으로 감각적인 분위기를 연출할 수 있습니다.,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/monsterDrawer.png?raw=true
redDrawer,키가 커서 가구 사이 좁은 공간에 채워 넣기 좋아요,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/redDrawer.png?raw=true
hiphopDrawer,서랍 개수가 많아 자잘한 악세사리들도 나눠 보관할 수 있습니다.,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/hiphopDrawer.png?raw=true
plantDrawer,거실에 놓으면 집안 분위기가 달라지는 북유럽풍 서랍!!,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/plantDrawer.png?raw=true
darkyDrawer,꽃 그림이 집안 분위기를 싱그럽게 바꿔줘요,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/darkyDrawer.png?raw=true
wecodeDrawer,잠금기능이 포함되어 있는 튼튼한 철제의자!,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/wecodeDrawer.png?raw=true
whiteDrawer,온갖 조리도구를 다 넣을 수 있는 서랍입니다,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/whiteDrawer.png?raw=true
islandDrawer,아일랜드 서랍으로 공간을 효율적으로 사용하세요,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/islandDrawer.png?raw=true
dollDrawer,인형이 붙어있는 아이방 용 서랍입니다,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/dollDrawer.png?raw=true
onebyoneDrawer,정사각형 서랍이 주는 심리적 아늑함으로 삶의 질을 향상시키세요,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/onebyoneDrawer.png?raw=true
woodDrawer,앤틱하고 튼튼해서 오래도록 질리지 않는 목재 서랍이에요,3,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%9C%EB%9E%8D/woodDrawer.png?raw=true
brina-blum,플랜테리어와 함께라면 편안한 분위기를 연출해보세요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/brina-blum_1.jpg?raw=true
fleitas,정물을 배치해서 정직인 분위기를 연출해보세요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/fleitas_1.jpg?raw=true
natural-berlin,"디퓨저 책 조명 등 간단한 소품과 함께 연출해보세요",4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/natural-berlin_1.jpg?raw=true
nick-fewings,비어있는 벽을 다양한 소품으로 채워보아요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/nick-fewings_1.jpg?raw=true
svitlana,아기자기한 소품들로 집안을 꾸며보아요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/svitlana_1.jpg?raw=true
skyBlueShelf,시원한 하늘색으로 몽글몽글한 여름 분위기를 연출해보아요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/skyBlueShelf.png?raw=true
jason,따뜻한 갈색 선반과 함께 아늑한 분위기를 연출해보세요,4,https://github.com/c0zyb1ue/weKEA-project-product-data/blob/main/%EC%84%A0%EB%B0%98/jason_1.jpg?raw=true